"manufacturer"	"model"	"displ"	"year"	"cyl"	"trans"	"drv"	"cty"	"hwy"
"audi"	"a4"	1.8	1999	4	"auto(l5)"	"f"	18	29
"audi"	"a4"	1.8	1999	4	"manual(m5)"	"f"	21	29
"audi"	"a4"	2	2008	4	"manual(m6)"	"f"	20	31
"audi"	"a4"	2	2008	4	"auto(av)"	"f"	21	30
"audi"	"a4"	2.8	1999	6	"auto(l5)"	"f"	16	26
"audi"	"a4"	2.8	1999	6	"manual(m5)"	"f"	18	26
"audi"	"a4"	3.1	2008	6	"auto(av)"	"f"	18	27
"audi"	"a4 quattro"	1.8	1999	4	"manual(m5)"	"4"	18	26
"audi"	"a4 quattro"	1.8	1999	4	"auto(l5)"	"4"	16	25
"audi"	"a4 quattro"	2	2008	4	"manual(m6)"	"4"	20	28
"audi"	"a4 quattro"	2	2008	4	"auto(s6)"	"4"	19	27
"audi"	"a4 quattro"	2.8	1999	6	"auto(l5)"	"4"	15	25
"audi"	"a4 quattro"	2.8	1999	6	"manual(m5)"	"4"	17	25
"audi"	"a4 quattro"	3.1	2008	6	"auto(s6)"	"4"	17	25
"audi"	"a4 quattro"	3.1	2008	6	"manual(m6)"	"4"	15	25
"audi"	"a6 quattro"	2.8	1999	6	"auto(l5)"	"4"	15	24
"audi"	"a6 quattro"	3.1	2008	6	"auto(s6)"	"4"	17	25
"audi"	"a6 quattro"	4.2	2008	8	"auto(s6)"	"4"	16	23
"chevrolet"	"c1500 suburban 2wd"	5.3	2008	8	"auto(l4)"	"r"	14	20
"chevrolet"	"c1500 suburban 2wd"	5.3	2008	8	"auto(l4)"	"r"	11	15
"chevrolet"	"c1500 suburban 2wd"	5.3	2008	8	"auto(l4)"	"r"	14	20
"chevrolet"	"c1500 suburban 2wd"	5.7	1999	8	"auto(l4)"	"r"	13	17
"chevrolet"	"c1500 suburban 2wd"	6	2008	8	"auto(l4)"	"r"	12	17
"chevrolet"	"corvette"	5.7	1999	8	"manual(m6)"	"r"	16	26
"chevrolet"	"corvette"	5.7	1999	8	"auto(l4)"	"r"	15	23
"chevrolet"	"corvette"	6.2	2008	8	"manual(m6)"	"r"	16	26
"chevrolet"	"corvette"	6.2	2008	8	"auto(s6)"	"r"	15	25
"chevrolet"	"corvette"	7	2008	8	"manual(m6)"	"r"	15	24
"chevrolet"	"k1500 tahoe 4wd"	5.3	2008	8	"auto(l4)"	"4"	14	19
"chevrolet"	"k1500 tahoe 4wd"	5.3	2008	8	"auto(l4)"	"4"	11	14
"chevrolet"	"k1500 tahoe 4wd"	5.7	1999	8	"auto(l4)"	"4"	11	15
"chevrolet"	"k1500 tahoe 4wd"	6.5	1999	8	"auto(l4)"	"4"	14	17
"chevrolet"	"malibu"	2.4	1999	4	"auto(l4)"	"f"	19	27
"chevrolet"	"malibu"	2.4	2008	4	"auto(l4)"	"f"	22	30
"chevrolet"	"malibu"	3.1	1999	6	"auto(l4)"	"f"	18	26
"chevrolet"	"malibu"	3.5	2008	6	"auto(l4)"	"f"	18	29
"chevrolet"	"malibu"	3.6	2008	6	"auto(s6)"	"f"	17	26
"dodge"	"caravan 2wd"	2.4	1999	4	"auto(l3)"	"f"	18	24
"dodge"	"caravan 2wd"	3	1999	6	"auto(l4)"	"f"	17	24
"dodge"	"caravan 2wd"	3.3	1999	6	"auto(l4)"	"f"	16	22
"dodge"	"caravan 2wd"	3.3	1999	6	"auto(l4)"	"f"	16	22
"dodge"	"caravan 2wd"	3.3	2008	6	"auto(l4)"	"f"	17	24
"dodge"	"caravan 2wd"	3.3	2008	6	"auto(l4)"	"f"	17	24
"dodge"	"caravan 2wd"	3.3	2008	6	"auto(l4)"	"f"	11	17
"dodge"	"caravan 2wd"	3.8	1999	6	"auto(l4)"	"f"	15	22
"dodge"	"caravan 2wd"	3.8	1999	6	"auto(l4)"	"f"	15	21
"dodge"	"caravan 2wd"	3.8	2008	6	"auto(l6)"	"f"	16	23
"dodge"	"caravan 2wd"	4	2008	6	"auto(l6)"	"f"	16	23
"dodge"	"dakota pickup 4wd"	3.7	2008	6	"manual(m6)"	"4"	15	19
"dodge"	"dakota pickup 4wd"	3.7	2008	6	"auto(l4)"	"4"	14	18
"dodge"	"dakota pickup 4wd"	3.9	1999	6	"auto(l4)"	"4"	13	17
"dodge"	"dakota pickup 4wd"	3.9	1999	6	"manual(m5)"	"4"	14	17
"dodge"	"dakota pickup 4wd"	4.7	2008	8	"auto(l5)"	"4"	14	19
"dodge"	"dakota pickup 4wd"	4.7	2008	8	"auto(l5)"	"4"	14	19
"dodge"	"dakota pickup 4wd"	4.7	2008	8	"auto(l5)"	"4"	9	12
"dodge"	"dakota pickup 4wd"	5.2	1999	8	"manual(m5)"	"4"	11	17
"dodge"	"dakota pickup 4wd"	5.2	1999	8	"auto(l4)"	"4"	11	15
"dodge"	"durango 4wd"	3.9	1999	6	"auto(l4)"	"4"	13	17
"dodge"	"durango 4wd"	4.7	2008	8	"auto(l5)"	"4"	13	17
"dodge"	"durango 4wd"	4.7	2008	8	"auto(l5)"	"4"	9	12
"dodge"	"durango 4wd"	4.7	2008	8	"auto(l5)"	"4"	13	17
