Lake,zoopProduction,DOC,Kd,chlorophyll,totalPhosphorous,chaoborus,piscivores
Bay,53.1,5.9,0.99,4.5,14.6,154.4,present
Bergner,51.4,11.8,1.5,5.9,21.5,430.2,present
Brown,20.5,9.3,1.09,8.9,36.3,58,present
Crampton,46.8,5.4,0.77,5.6,20.1,156.5,present
Hummingbird,15.1,25.9,3.09,14.2,35,1113.7,present
Inkpot,43.5,11.4,1.23,3.9,25.8,232.4,present
Long,14.4,8,1.83,8.2,11.3,955.4,present
Morris,21.4,17.4,3.22,9,33.3,405.9,present
Raspberry,48.4,6.4,1.28,5,27.4,334.6,present
Reddington,3.7,22,4.64,9.4,33.8,178.8,absent
