"treatment"	"expression"
"T1"	"60.2959402088826"
"T4"	"63.0408568319425"
"treat2"	"101.483704863676"
"t3"	"102.099267959985"
"treat2"	"115.085146074389"
"T1"	"108.190170447513"
"t3"	"107.617097196752"
"t3"	"115.57803351539"
"T4"	"103.288574793725"
"T4"	"108.669407386678"
"treatment1"	"92.8502838355413"
"t3"	"95.706478521348"
"treatment1"	"109.355849807519"
"T2"	"122.719158216029"
"T4"	"90.4676275563013"
"treatment1"	"183.44821621991"
"treat2"	"118.690728919937"
"T1"	"123.812157040161"
"t3"	"155.374385457083"
"T2"	"102.729645787927"
"T2"	"80.3112783874958"
"treatment1"	"120.283782277867"
"treatment1"	"78.3339700352215"
"treat2"	"42.8695802620524"
"T4"	"150.806395724324"
"T2"	"91.2860850382033"
"T1"	"102.843332652204"
"T1"	"145.1889470017"
"T2"	"92.417608400258"
"treat2"	"112.138343249319"
