gender,yearsExperience,yearsSchool,wage
female,9,13,6.3152956461
female,12,12,5.4797699786
female,11,11,3.6421699174
female,9,14,4.5933365997
female,8,14,2.4181574607
female,9,14,2.0940581101
female,8,12,5.5120039196
female,10,12,3.5484271597
female,12,10,5.8182263596
female,7,12,3.8277804998
female,10,14,6.7368936796
female,10,13,12.861342479
female,10,13,7.6555609995
female,9,10,2.4497795198
female,10,13,6.1056621468
female,3,15,8.2680058795
female,9,14,1.8624054829
female,13,11,3.9808917197
female,10,12,4.7634601775
female,11,12,6.3805955861
female,8,14,5.6311238472
female,7,11,2.4880573248
female,7,14,1.2237382772
female,5,12,1.3456535391
female,5,14,0.7511116452
female,10,14,11.330230279
female,11,12,3.8947576562
female,6,13,2.9985152513
female,11,12,3.2678961879
female,9,12,1.3551971812
female,10,14,4.2871141597
female,11,12,7.6249387555
female,11,13,4.4437861058
female,5,12,1.1342814763
female,5,15,9.0641842234
female,12,12,3.9808917197
female,11,12,3.4507052379
female,4,14,8.0967289215
female,10,13,8.7352138308
female,9,15,7.2758451739
female,12,12,5.5120039196
female,8,15,9.786358811
female,7,14,7.0431161195
female,8,11,0.7852717913
female,9,12,4.0087301234
female,10,12,3.6121512769
female,15,7,3.1847133758
female,6,15,5.8182263596
female,10,12,2.2747952684
female,7,16,5.4478926684
female,9,12,2.4035572648
female,8,14,9.0335619794
female,10,13,4.9740959419
female,7,14,9.3276123977
female,10,12,5.8734467996
female,9,12,3.2832096658
female,8,14,2.1435570799
female,5,13,2.5605735685
female,5,14,9.1866731994
female,3,12,2.8351910828
female,10,12,5.8976173626
female,7,12,2.5332947307
female,8,14,8.2680058795
female,8,15,14.102051849
female,9,11,0.7293236738
female,7,11,4.5933365997
female,7,12,3.3777263077
female,10,13,3.1847133758
female,13,9,5.0074109682
female,5,12,2.3189660503
female,9,12,3.387992953
female,10,11,2.4497795198
female,9,13,5.8182263596
female,10,13,5.3588926997
female,7,11,7.1432823382
female,6,12,5.5996360328
female,8,12,3.8277804998
female,6,12,8.0713228206
female,9,12,3.9439174932
female,11,12,6.3455414013
female,7,13,5.4836124351
female,9,13,6.9801937004
female,9,13,10.047012436
female,11,12,5.5120039196
female,8,15,6.2556869882
female,11,12,3.2344745223
female,8,10,1.9183214687
female,4,14,11.091041607
female,8,14,5.1844171234
female,9,14,5.1366344771
female,9,13,4.241819428
female,7,12,3.9028350194
female,11,12,6.7803575098
female,9,12,1.0261854211
female,10,12,4.593064402
female,11,8,0.4386814489
female,9,13,7.3493385595
female,8,12,4.5933365997
female,7,13,4.7245747883
female,6,13,4.8172135096
female,4,12,8.5304822566
female,7,14,6.195187114
female,10,13,4.7046902142
female,10,12,5.083341382
female,6,12,5.790387956
female,7,16,5.103707333
female,7,14,6.9908342396
female,9,12,4.3162052915
female,8,13,7.7100274414
female,5,12,5.7109839017
female,8,12,1.9819297555
female,6,12,5.8175870643
female,9,13,3.6746692798
female,7,13,2.7560019598
female,5,14,4.9481497078
female,9,12,3.9808917197
