time	team	score
3.966666667	UW	3
4.583333333	UW	2
4.583333333	UW	1
4.833333333	MSU	2
5.433333333	UW	2
5.533333333	MSU	1
5.533333333	MSU	1
6.033333333	UW	3
7.116666667	MSU	3
8.5	MSU	2
9.183333333	UW	2
9.6	MSU	1
9.95	MSU	2
10.21666667	UW	3
10.55	UW	3
11.51666667	MSU	2
12.08333333	MSU	2
14.53333333	MSU	3
15	UW	3
15.6	MSU	3
15.6	MSU	1
16.8	UW	3
17.1	MSU	2
18.01666667	UW	1
18.23333333	MSU	2
19.95	UW	2
21.05	MSU	2
21.7	UW	2
21.98333333	MSU	3
22.75	UW	1
23.93333333	MSU	2
23.93333333	MSU	1
24.25	UW	2
25.43333333	UW	1
25.63333333	MSU	2
27.38333333	UW	2
28.11666667	UW	3
29.06666667	MSU	2
29.85	MSU	2
30.95	MSU	2
31.5	UW	1
31.5	UW	1
31.88333333	MSU	1
31.88333333	MSU	1
32.26666667	UW	2
33.03333333	MSU	2
33.68333333	UW	1
37.85	MSU	1
39.71666667	UW	3
39.75	MSU	1
