##Deleted a large header, all lines starting with ##																																																																																									
#CHROM	POS	INFO	FORMAT	Cf.Sfa.003	Cf.Sfa.004	Cf.Sfa.005	Cf.Sfa.006	Cf.Sfa.007	Cf.Sfa.008	Cf.Sfa.009	Cf.Sfa.010	Cf.Sfa.011	Cf.Sfa.012	Cf.Sfa.013	Cf.Sfa.014	Cf.Sfa.028	Cf.Sfa.029	Cf.Sfa.030	Cf.Sfa.031	Cf.Sfa.032	Cf.Sfa.033	Cf.Sfa.003	Cf.Sfa.004	Cf.Sfa.007	Cf.Sfa.011	Cf.Sfa.012	Cf.Sfa.013	Cf.Sfa.014	Cf.Gai.001	Cf.Gai.003	Cf.Gai.004	Cf.Gai.006	Cf.Gai.007	Cf.Gai.008	Cf.Gai.002	Cf.Gai.003	Cf.Gai.004	Cf.Gai.005	Cf.Gai.006	Cf.Gai.007	Cf.Gai.008	Cf.Gai.009	Cf.Gai.010	Cf.Gai.011	Cf.Gai.012	Cf.Gai.013	Cf.Gai.014	Cf.Gai.016	Cf.Gai.017	Cf.Gai.019	Cf.Gai.023	Cf.Gai.024	Cf.Gai.025	Cf.Gai.027	Cf.Sfa.001	Cf.Sfa.002	Cf.Sfa.012	Cf.Sfa.013	Cf.Sfa.017	Cf.Sfa.027	Cf.Sfa.030	Cf.Sfa.033	Cf.Sfa.036	Cf.Sfa.037	Cf.Sfa.038	Cf.Sfa.040	Cf.Sfa.041	Cf.Sfa.042	Cf.Sfa.043	Cf.Sfa.045	Cf.Sfa.046	Cf.Sfa.048	Cf.Sfa.050	Cf.Sfa.052	Cf.Sfa.058	Cf.Sfa.064	Cf.Sfa.067	Cf.Sfa.074	Cf.Sfa.077	Cf.Sfa.080	Cf.Sfa.084	Cf.Sfa.089	Cf.Sfa.090	Cf.Sfa.092	Cf.Sfa.093	Cf.Sfa.017	Cf.Sfa.019	Cf.Gai.020	Cf.Gai.021
Contig23	34	DeletedStuff	GT:AD:DP:GQ:PL	1,0	4,0	3,0	1,0	4,0	2,2	5,0	2,1	5,0	0,4	4,0	3,0	1,0	3,0	3,0	3,2	1,0	1,0	2,2	3,1	0,7	2,0	2,0	4,0	2,0	1,0	1,2	3,0	2,0	3,0	5,0	2,0	5,0	2,0	1,0	3,0	3,0	6,0	3,2	2,0	3,0	2,0	8,0	2,0	4,0	3,0	NA	5,0	2,0	5,0	2,0	3,0	1,0	5,0	1,0	2,0	1,0	1,1	4,0	NA	2,0	1,0	4,0	4,0	2,0	1,0	1,1	4,0	NA	1,0	4,0	0,2	2,0	2,0	3,0	3,0	5,0	3,0	5,0	1,2	2,0	2,2	0,1	1,0	1,0	NA
Contig150	37	DeletedStuff	GT:AD:DP:GQ:PL	5,0	5,0	4,0	3,0	1,0	5,0	2,0	3,0	2,0	3,0	8,0	NA	4,0	3,0	7,0	NA	1,0	3,0	1,0	6,0	1,0	5,0	6,0	5,0	1,0	4,0	3,0	4,0	6,0	3,0	4,0	3,0	6,0	3,0	2,0	2,0	3,0	4,0	3,0	NA	5,0	2,0	1,0	2,0	7,0	1,0	1,0	4,0	1,0	1,0	3,0	8,0	3,0	6,0	10,0	2,0	3,0	10,0	1,0	14,0	9,0	8,0	9,0	8,0	2,0	8,0	4,0	8,0	5,0	4,0	4,0	6,0	1,0	2,0	4,0	3,0	3,0	4,0	5,0	7,0	3,0	5,0	3,0	7,0	1,0	2,0
Contig234	63	DeletedStuff	GT:AD:DP:GQ:PL	1,0	1,0	1,0	NA	1,0	1,0	1,0	1,0	NA	2,0	2,0	1,0	3,0	1,0	1,0	4,0	3,0	2,0	1,0	2,0	2,0	NA	4,0	3,0	2,0	2,0	NA	4,0	1,0	4,0	3,0	NA	1,0	3,0	2,0	1,0	5,0	2,0	1,0	4,0	1,0	3,0	3,0	6,0	4,0	2,0	4,0	2,0	1,0	NA	2,0	5,0	1,0	NA	2,0	NA	4,0	1,0	2,0	1,0	4,0	3,0	3,0	1,0	2,0	NA	1,0	1,0	1,0	2,0	2,0	1,0	3,0	2,0	1,0	2,0	2,0	3,0	1,0	3,0	4,0	1,0	5,0	3,0	1,0	5,0
Contig286	18	DeletedStuff	GT:AD:DP:GQ:PL	5,0	1,0	1,0	1,0	NA	1,0	NA	1,0	3,0	NA	2,0	NA	3,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	2,0	2,0	1,0	1,0	1,0	1,0	1,0	NA	4,0	NA	3,0	3,0	2,0	2,0	1,0	1,0	NA	NA	NA	2,0	2,0	1,0	3,0	2,0	1,0	2,0	3,0	NA	2,0	1,0	NA	1,0	2,0	NA	2,0	1,0	2,0	3,0	2,0	3,0	1,0	NA	1,0	NA	1,0	3,0	3,0	NA	NA	5,0	2,0	2,0	4,0	2,0	3,0	5,0	NA	4,0	4,0	1,0	NA	1,0	1,0	2,0	NA
Contig286	76	DeletedStuff	GT:AD:DP:GQ:PL	5,0	1,0	1,0	1,0	NA	1,0	NA	1,0	3,0	NA	2,0	NA	3,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	2,0	2,0	1,0	1,0	1,0	1,0	1,0	NA	4,0	NA	3,0	3,0	2,0	2,0	1,0	1,0	NA	NA	NA	2,0	2,0	NA	3,0	2,0	1,0	2,0	3,0	NA	2,0	1,0	NA	1,0	2,0	NA	2,0	1,0	2,0	3,0	2,0	3,0	1,0	NA	1,0	NA	1,0	3,0	3,0	NA	NA	5,0	2,0	2,0	4,0	2,0	3,0	5,0	NA	4,0	4,0	1,0	NA	1,0	1,0	2,0	NA
Contig286	84	DeletedStuff	GT:AD:DP:GQ:PL	5,0	1,0	1,0	1,0	NA	1,0	NA	1,0	3,0	NA	2,0	NA	3,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	2,0	2,0	1,0	1,0	1,0	1,0	1,0	NA	4,0	NA	3,0	3,0	2,0	2,0	1,0	1,0	NA	NA	NA	2,0	2,0	NA	3,0	2,0	1,0	2,0	3,0	NA	2,0	1,0	NA	1,0	2,0	NA	2,0	1,0	2,0	3,0	2,0	3,0	1,0	NA	1,0	NA	1,0	3,0	3,0	NA	NA	5,0	2,0	2,0	4,0	2,0	3,0	5,0	NA	4,0	4,0	1,0	NA	1,0	1,0	2,0	NA
Contig319	49	DeletedStuff	GT:AD:DP:GQ:PL	1,0	1,0	NA	2,0	1,0	1,0	1,0	2,0	3,0	1,0	NA	NA	1,0	NA	NA	NA	NA	2,0	1,0	3,0	2,0	2,0	3,0	1,0	2,0	3,0	2,0	NA	1,0	NA	1,0	2,0	2,0	1,0	1,0	1,0	1,0	NA	3,0	1,0	NA	2,0	3,0	NA	NA	NA	NA	2,0	NA	1,0	2,0	2,0	NA	NA	2,0	2,0	1,0	NA	1,0	NA	NA	3,0	3,0	2,0	1,0	5,0	4,0	1,0	2,0	1,0	2,0	1,0	NA	NA	1,0	3,0	1,0	NA	1,0	2,0	NA	1,0	1,0	1,0	2,0	3,0
Contig319	64	DeletedStuff	GT:AD:DP:GQ:PL	1,0	1,0	NA	2,0	1,0	1,0	1,0	2,0	3,0	1,0	NA	NA	1,0	NA	NA	NA	NA	2,0	1,0	3,0	2,0	2,0	3,0	1,0	2,0	3,0	0,2	NA	1,0	NA	1,0	2,0	2,0	1,0	1,0	1,0	1,0	NA	3,0	1,0	NA	2,0	3,0	NA	NA	NA	NA	2,0	NA	1,0	2,0	2,0	NA	NA	2,0	2,0	1,0	NA	1,0	NA	NA	3,0	3,0	2,0	1,0	5,0	4,0	1,0	2,0	1,0	2,0	0,1	NA	NA	1,0	3,0	1,0	NA	1,0	2,0	NA	1,0	1,0	1,0	2,0	3,0
Contig355	39	DeletedStuff	GT:AD:DP:GQ:PL	2,0	2,0	3,0	2,0	4,0	5,0	2,0	4,0	3,0	3,0	NA	2,0	5,0	1,0	2,0	1,0	4,0	1,0	10,0	2,0	6,0	3,0	5,0	1,0	4,0	NA	2,0	2,0	3,0	4,0	2,0	2,0	NA	3,0	3,0	4,0	4,0	4,0	1,0	1,0	2,0	5,0	NA	1,0	3,0	NA	3,0	3,0	1,0	2,0	NA	3,0	4,0	4,0	5,0	2,0	3,0	5,0	1,0	3,0	NA	1,0	NA	3,0	3,0	5,0	5,0	4,0	2,0	NA	4,0	4,0	3,0	2,0	3,0	4,0	6,0	1,0	2,0	3,0	3,0	5,0	7,0	2,0	1,0	2,0
Contig355	83	DeletedStuff	GT:AD:DP:GQ:PL	2,0	2,0	3,0	2,0	4,0	5,0	2,0	4,0	3,0	3,0	NA	2,0	5,0	1,0	2,0	1,0	4,0	1,0	10,0	2,0	6,0	3,0	5,0	NA	4,0	NA	2,0	2,0	3,0	4,0	2,0	2,0	NA	3,0	3,0	4,0	4,0	4,0	1,0	1,0	2,0	5,0	NA	1,0	3,0	NA	3,0	3,0	1,0	2,0	NA	3,0	4,0	4,0	5,0	2,0	3,0	5,0	1,0	3,0	NA	1,0	NA	3,0	3,0	5,0	5,0	4,0	2,0	NA	4,0	3,0	3,0	2,0	3,0	4,0	6,0	1,0	2,0	3,0	3,0	5,0	7,0	2,0	1,0	2,0
